,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price,rating,Number of Ratings,Number of Reviews
209,5,1,2,1,3,1,4,0,2,1,0 GB,2,3,0,0,55990,2,3,0
210,2,1,2,5,3,0,4,0,2,1,0 GB,2,0,1,1,81998,3,14,3
211,4,1,2,5,3,1,4,0,2,1,0 GB,0,0,1,1,136590,2,0,0
212,2,1,2,5,3,1,4,0,2,1,0 GB,2,0,0,0,59490,2,33,7
213,0,1,2,1,3,1,4,0,2,1,0 GB,2,0,0,0,49800,2,0,0
214,1,1,2,1,3,1,4,0,2,1,0 GB,0,0,0,1,61999,1,4,0
215,4,1,2,1,3,1,6,0,2,1,0 GB,2,3,0,0,54990,3,116,15
216,4,1,2,1,3,1,6,0,2,1,0 GB,2,0,0,0,53990,3,206,17
217,1,1,2,1,3,1,6,0,2,1,0 GB,0,1,0,1,52990,3,300,24
218,4,1,2,1,0,1,6,0,2,1,0 GB,2,0,0,1,67990,3,108,6
219,0,1,2,0,3,1,6,0,2,1,4 GB,1,0,0,0,57990,3,3712,412
220,1,1,2,1,0,1,6,0,2,1,0 GB,2,0,0,1,62300,3,825,95
221,1,1,2,1,3,1,6,0,2,1,0 GB,2,0,0,0,52990,2,0,0
222,1,1,2,1,3,1,6,0,2,1,0 GB,2,1,0,1,51990,3,85,4
223,1,1,2,1,0,1,6,0,2,1,0 GB,2,3,0,0,61990,3,56,7
224,0,1,2,1,3,5,6,0,2,0,0 GB,0,0,1,1,63990,3,10,1
225,1,1,2,1,3,1,6,0,2,1,0 GB,0,0,0,1,65990,3,17,4
226,2,1,2,1,3,1,6,0,2,1,0 GB,2,0,0,0,52990,3,155,20
227,1,1,2,0,3,1,6,0,2,1,0 GB,2,0,0,0,49990,2,0,0
228,0,1,2,1,3,1,6,0,2,1,4 GB,1,3,0,0,71990,3,91,17
229,0,1,2,0,3,1,6,0,2,1,0 GB,0,0,0,0,47990,3,35,2
230,1,1,2,0,3,1,6,0,2,0,0 GB,2,1,0,1,48490,3,126,13
231,0,1,2,1,3,1,6,0,2,1,4 GB,1,3,0,0,72990,3,74,10
232,6,1,2,1,0,1,6,0,2,1,4 GB,0,1,0,0,76990,3,75,17
233,0,1,2,1,0,1,6,0,2,1,6 GB,1,0,0,1,89990,3,124,17
234,6,1,2,0,3,1,6,0,2,1,4 GB,0,1,0,0,59990,3,1597,228
235,0,1,2,0,3,1,6,0,2,1,4 GB,1,0,0,1,65990,3,3850,378
236,5,1,2,1,3,1,6,0,2,1,0 GB,0,3,1,0,71990,3,7,1
237,5,1,2,1,3,1,6,0,2,1,0 GB,0,3,1,0,71890,3,3,0
238,1,1,2,1,0,1,6,0,2,1,0 GB,2,3,0,0,64990,2,0,0
239,0,1,2,1,0,1,6,0,2,1,0 GB,0,0,0,0,65990,2,0,0
240,4,1,2,1,3,1,6,0,2,1,0 GB,2,3,0,0,55999,3,5,1
241,0,1,2,1,0,1,6,0,2,1,4 GB,0,0,0,0,73490,3,213,45
242,4,1,2,1,0,1,6,0,2,1,0 GB,2,0,0,1,74490,3,10,0
243,4,1,2,1,3,1,6,0,2,1,0 GB,2,0,0,1,58340,3,69,6
244,2,1,2,1,3,1,6,0,2,1,0 GB,2,0,0,0,55999,3,6,0
245,5,1,2,1,0,1,6,0,2,1,0 GB,2,3,0,0,67990,3,93,9
246,0,1,2,1,0,1,6,0,2,1,0 GB,0,0,0,0,59990,3,11,2
247,0,1,2,1,0,1,6,0,2,1,6 GB,0,0,0,1,82990,3,262,31
248,5,1,2,1,3,1,6,0,2,1,2 GB,0,0,0,1,64190,2,0,0
249,5,1,2,1,0,1,6,0,2,1,0 GB,2,3,0,0,70090,3,5,1
250,0,1,2,0,3,1,6,0,2,1,2 GB,2,0,0,0,49990,3,45,3
251,6,1,2,1,3,1,6,0,2,1,0 GB,2,3,0,0,55490,2,8,1
252,4,1,2,1,3,5,6,0,2,1,0 GB,0,3,1,0,97990,4,3,1
253,0,1,2,6,3,1,6,0,2,1,4 GB,1,0,0,1,54990,3,1681,227
254,1,1,2,1,3,1,6,0,2,1,0 GB,2,0,0,1,59990,3,37,2
255,1,1,2,1,3,1,6,0,2,1,0 GB,2,0,0,1,53990,3,61,2
256,4,1,2,1,0,1,6,0,2,1,0 GB,2,0,0,1,66999,3,17,1
257,2,1,2,1,3,5,6,0,2,1,0 GB,2,0,0,1,60990,3,17,1
258,0,1,2,0,3,1,6,0,2,1,0 GB,2,0,0,1,47990,3,1625,152
259,4,1,2,1,3,1,6,0,2,0,0 GB,2,0,0,1,59999,3,4,1
260,5,1,2,0,0,1,6,0,2,1,4 GB,0,0,0,0,79990,2,0,0
261,0,1,2,0,3,1,6,0,2,1,4 GB,1,0,0,0,63990,2,0,0
262,4,1,2,1,3,1,6,0,2,1,0 GB,2,0,0,1,63990,3,17,1
263,0,1,2,1,0,1,6,0,2,1,0 GB,0,0,0,0,59990,2,0,0
264,1,1,2,1,3,1,6,0,2,1,0 GB,2,0,0,0,55990,2,0,0
266,4,1,2,1,3,1,6,0,2,1,0 GB,2,0,0,1,63990,3,3,0
267,5,1,2,1,0,1,6,0,2,1,2 GB,0,0,0,1,69490,2,0,0
268,5,1,2,1,0,1,6,0,2,1,0 GB,0,0,1,1,89390,2,0,0
269,0,1,2,1,3,5,6,0,2,1,0 GB,2,3,0,0,74990,2,0,0
270,1,1,2,1,3,1,6,0,2,1,0 GB,0,2,1,1,64990,3,48,12
271,1,1,2,0,3,1,6,0,2,1,4 GB,0,0,0,1,66490,3,282,36
272,5,1,2,1,0,1,6,0,2,1,2 GB,0,0,0,1,89702,2,0,0
273,1,1,2,1,0,1,6,0,2,1,2 GB,0,0,0,1,70990,3,67,4
274,0,1,2,1,0,1,6,0,2,1,0 GB,0,0,1,1,58990,2,0,0
275,1,1,2,0,3,1,6,0,2,1,2 GB,0,0,0,1,57500,2,0,0
276,5,1,2,1,3,1,6,0,2,1,2 GB,0,0,1,1,79990,3,23,2
277,6,1,2,0,3,1,6,0,2,1,0 GB,0,3,0,0,56541,3,677,87
278,0,1,2,1,0,1,6,0,2,1,0 GB,2,3,0,0,59990,2,3,0
279,1,1,2,1,0,1,6,0,2,1,0 GB,0,0,0,1,64990,3,46,4
280,5,1,2,1,3,1,6,0,2,1,0 GB,2,0,0,0,61290,2,4,1
281,1,1,2,1,3,1,6,0,2,1,0 GB,2,0,0,1,54990,3,9,1
282,1,1,2,1,3,1,6,0,2,1,0 GB,0,0,0,1,59990,3,26,4
283,0,1,2,1,3,1,6,0,2,0,6 GB,0,0,0,0,84990,4,5,0
284,4,1,2,1,3,1,6,0,2,1,0 GB,2,0,0,1,72500,3,40,3
285,1,1,2,1,3,1,6,0,2,1,4 GB,1,3,0,0,59990,2,44,6
286,1,1,2,1,3,1,6,0,2,1,0 GB,0,0,1,1,87990,3,28,6
287,4,1,2,1,3,1,6,0,2,1,0 GB,2,3,0,0,57990,3,1541,123
288,5,1,2,1,3,1,6,0,2,1,0 GB,2,0,0,1,69490,3,72,7
289,1,1,2,1,3,1,6,0,2,1,0 GB,0,2,1,1,68990,3,44,8
290,1,1,2,1,3,1,6,0,2,0,0 GB,0,0,0,1,77990,3,17,2
291,0,1,2,1,3,5,6,0,2,1,0 GB,0,0,1,0,105990,3,59,11
292,6,1,2,1,3,5,6,0,2,1,0 GB,0,0,0,0,79990,2,0,0
293,5,1,2,1,3,1,6,0,2,1,0 GB,2,0,0,1,55490,3,337,27
294,1,1,2,1,3,1,6,0,2,1,0 GB,2,0,0,1,69990,3,10,2
295,0,1,2,1,3,1,6,0,2,1,0 GB,0,0,1,1,84990,3,10,2
296,5,1,2,1,3,1,6,0,2,1,0 GB,2,3,0,0,59990,2,31,7
297,5,1,2,0,3,5,6,0,2,1,0 GB,2,0,0,1,111890,2,0,0
298,5,1,2,1,3,1,6,0,2,1,2 GB,0,0,0,0,65990,3,10,0
299,0,1,2,1,3,5,6,0,2,0,0 GB,0,0,0,1,72990,3,76,14
300,5,1,2,1,3,1,6,0,2,1,0 GB,2,0,0,1,71090,3,44,6
301,6,1,2,1,3,1,6,0,2,1,4 GB,0,1,0,0,74990,2,0,0
302,0,1,2,0,3,3,6,0,2,1,0 GB,0,0,0,1,79990,3,11,3
303,6,1,2,1,3,1,6,0,2,1,0 GB,0,0,0,0,55490,3,138,16
304,5,1,2,1,3,1,6,0,2,1,2 GB,2,0,0,1,66490,3,199,17
305,0,1,2,1,3,1,6,0,2,1,0 GB,0,0,0,1,53400,3,46,6
306,5,1,2,1,3,1,6,0,2,1,0 GB,0,0,1,1,74500,3,45,5
307,5,1,2,1,3,5,6,0,2,1,0 GB,2,0,0,1,114990,2,0,0
308,5,1,2,1,3,1,6,0,2,1,2 GB,2,3,0,0,61990,3,35,4
309,7,1,2,0,3,5,6,0,1,1,0 GB,0,0,0,0,159990,3,32,5
