,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price,rating,Number of Ratings,Number of Reviews
235,0,1,2,0,3,1,6,0,2,1,4 GB,Gaming,1 year,No,Yes,65990,4 stars,3850,378
236,5,1,2,1,3,1,6,0,2,1,0 GB,Casual,No warranty,Yes,No,71990,4 stars,7,1
237,5,1,2,1,3,1,6,0,2,1,0 GB,Casual,No warranty,Yes,No,71890,4 stars,3,0
238,1,1,2,1,0,1,6,0,2,1,0 GB,ThinNlight,No warranty,No,No,64990,3 stars,0,0
239,0,1,2,1,0,1,6,0,2,1,0 GB,Casual,1 year,No,No,65990,3 stars,0,0
240,4,1,2,1,3,1,6,0,2,1,0 GB,ThinNlight,No warranty,No,No,55999,4 stars,5,1
241,0,1,2,1,0,1,6,0,2,1,4 GB,Casual,1 year,No,No,73490,4 stars,213,45
242,4,1,2,1,0,1,6,0,2,1,0 GB,ThinNlight,1 year,No,Yes,74490,4 stars,10,0
243,4,1,2,1,3,1,6,0,2,1,0 GB,ThinNlight,1 year,No,Yes,58340,4 stars,69,6
244,2,1,2,1,3,1,6,0,2,1,0 GB,ThinNlight,1 year,No,No,55999,4 stars,6,0
245,5,1,2,1,0,1,6,0,2,1,0 GB,ThinNlight,No warranty,No,No,67990,4 stars,93,9
246,0,1,2,1,0,1,6,0,2,1,0 GB,Casual,1 year,No,No,59990,4 stars,11,2
247,0,1,2,1,0,1,6,0,2,1,6 GB,Casual,1 year,No,Yes,82990,4 stars,262,31
248,5,1,2,1,3,1,6,0,2,1,2 GB,Casual,1 year,No,Yes,64190,3 stars,0,0
249,5,1,2,1,0,1,6,0,2,1,0 GB,ThinNlight,No warranty,No,No,70090,4 stars,5,1
250,0,1,2,0,3,1,6,0,2,1,2 GB,ThinNlight,1 year,No,No,49990,4 stars,45,3
251,6,1,2,1,3,1,6,0,2,1,0 GB,ThinNlight,No warranty,No,No,55490,3 stars,8,1
252,4,1,2,1,3,5,6,0,2,1,0 GB,Casual,No warranty,Yes,No,97990,5 stars,3,1
253,0,1,2,6,3,1,6,0,2,1,4 GB,Gaming,1 year,No,Yes,54990,4 stars,1681,227
254,1,1,2,1,3,1,6,0,2,1,0 GB,ThinNlight,1 year,No,Yes,59990,4 stars,37,2
